Club name, Stadium capacity, Major European trophies, Major Domestic trophies, Market value (in M), International Players
CSKA Moskva, 30457, 1, 32, 139.73, 10
Spartak Moskva, 45360, 0, 36, 120.45, 7
FK Krasnodar, 35179, 0, 0, 114.15, 10
Lokomotiv Moskva, 27320, 0, 16, 85.55, 8
Dinamo Moskva, 25716, 0, 18, 57.40, 9
Rubin Kazan, 45379, 0, 5, 51.60, 6
FK Rostov, 45145, 0, 1, 46.25, 6
FK Sochi, 43700, 0, 0, 31.70, 4
Akhmat Grozny, 30200, 0, 1, 30.38, 6
Arsenal Tula, 19241, 0, 0, 30.15, 6
Ural Ekaterimburg, 27000, 0, 0, 25.03, 2
Rotor Volgograd, 45568, 0, 0, 20.30, 6
FK Khimki, 18636, 0, 0, 18.60, 3
FK Ufa, 15132, 0, 0, 15.70, 1
PFK Tambov, 44149, 0, 0, 10.20, 3
Celtic FC, 60832, 1, 110, 100.48, 14
Rangers FC, 50987, 0, 114, 80.13, 13
Hibernian FC, 20250, 0, 10, 16.53, 7
Aberdeen FC, 22199, 1, 17, 14.23, 6
Dundee United FC, 14223, 0, 6, 11.98, 1
Motherwell FC, 13750, 0, 4, 11.03, 3
Livingston FC, 9512, 0, 2, 9.90, 2
Ross County FC, 6541, 0, 4, 8.80, 0
St. Johnstone FC, 10696, 0, 2, 7.80, 1
St. Mirren FC, 8023, 0, 5, 7.78, 0
Hamilton Academical FC, 6018, 0, 2, 7.68, 1
Kilmarnock FC, 18128, 0, 5, 7.60, 0
